KEY,CH,EN
guildBattlejieshao,"时间：每周三、周六晚上7点-10点\n流程：7点-8点为准备阶段,玩家可以自由出入场地\n      8点-9点30为比赛阶段,玩家退出场地后不可再次进入\n      9点30-10点为结算阶段,发放家族战奖励\n\n胜利条件：1、比赛阶段场地内没有敌方家族成员\n          2、比赛阶段结束后根据分数决定输赢\n\n计分规则：1、击败对方玩家1人积1分\n          2、击败对方守护兽积5分",""
chuansongGuildBattle,"家族战即将开始是否传送至家族战场",""
EN_AccountIsSeal,"账号已被冻结,请联系客服！",""
EN_GuildBattleHasTeam,"家族战中,无法加入队伍",""
emptyStr,"输入内容为空",""
EN_HasFriend,"该玩家已是好友",""
EN_BagSizeMax,"开启背包数已到最大",""
EN_PresentGuildOk,"家族捐献成功",""
EN_RemouldBabyLevel,"宝宝改造等级大于一级",""
rmbbz,"￥",""
duiwumingbuweikong,"队伍名称不能为空",""
gzcwubnhuanyuan,"改造宠物不能还原",""
tichujiazu,"你已经被移出家族",""
jiazumingbunengkong,"家族名称不能为空",""
battlecannot,"战斗中不可进行此操作",""
EN_PlayerNoOnline,"玩家不在线",""
dangqianzuida,"已到当前最大等级","" 
EN_PlayerNoOnline,"玩家不在线",""
yaoqingchenggong,"邀请成功",""
EN_GuildMemberMax,"成员已到上限",""
gongxijiaru,"恭喜您加入家族",""
tooFastOperation,"操作太频繁",""
EN_ActivityNoTime,"活动未开启",""
EN_NoTeamExist,"您不符合队伍要求",""
EN_GuildNoMember,"成员已经离开了家族",""
xuyuandec,"领取许愿任务,获得大量经验",""
chucunjingyan,"1.每天未完成的日常活动和日常任务会按照一   定比例转换为储存经验。\n\n2.储存经验在获得个人经验时会转换成人物经   验。\n\n3.最多保留1000W储存经验,达到上限后则不能   继续获得储存经验.",""
ADT_PhoneNumber,"手机绑定",""
lijichongZhif,"金额充值达到{n}元",""
EN_GuildNoMember,"成员已经离开了家族",""
xuyuandec,"领取许愿任务,获得大量经验",""
ADT_Level,"等級礼包",""
jilibao,"级礼包",""
EN_PboneNumberSuccess,"绑定成功",""
ADT_Sign,"签到",""
dongjie,"冻结时间：{n}天",""
resVersionGetError,"资源版本检查失败",""
showbaby,"展示宠物不能放入银行",""
zhanoougoumai,"战斗中不能购买",""
smssendfast,"发送太频繁，{0}秒后可重发",""
autoTeam,"自动队伍",""
shifoubangding,"装备后将绑定是否继续?",""
autoTeam,"自动队伍",""
EN_PhoneNumberError,"验证码错误",""
EN_OtherPlayerInBattle ,"对方玩家在战斗中",""
dengjibuzu,"家族等级不足",""
EN_GuildMemberLess24,"离开家族24小时内不能加入新家族",""
haoyoushenqingrudui,"申请入队",""
shifoufangsheng,"是否放生此宠物",""
EN_NoTeamLeader,"您不是队长",""
duiyuandengji,"队员中玩家的等级不足",""
jiazuzhanopen,"准备期间无法进行挑战",""
dengjibuzu,"家族等级不足",""
gainConvertExp,"获得{0}赢福经验",""
guildCanJoin,"加入家族后才能参加",""
EN_GuildBattleNotMatch,"家族战匹配已结束，无法进入战场",""
IST_FuWenAttack,"攻击符文",""
IST_FuWenDefense,"防御符文",""
IST_FuWenAssist,"辅助符文",""
IMT_FuWen,"符文",""
wufayaoqing,"家族战中无法邀请地方家族成员",""
bunengfushu,"只能输入正整数",""
shitianqian,"十天前",""
EN_MallSellTimeLess,"售卖道具冻结时间未到",""
dontSell,"不能出售",""
jiazuweikaiqi,"家族功能未开启",""
meiyoujiazu,"您没有家族",""
meiyouduiwu,"你没有队伍",""
querenlikai,"确认离开家族战场",""
EN_GuildBattleIsStart,"家族战已正式开启",""
EN_GuileBattleIsClose,"家族战已关闭",""
EN-Max,"无效",""
EN_NoBaby,"这个宠物的强化等级已经达到10级，不用这个道具了！",""
EN_BackTeamCommandLeaderInGuildHomeSceneAndYouAreNotSameGuild,"队长在家族领地但你不是该家族成员",""
EN_InviteeLeaveGuildLess24,"被邀请人离开家族不足24小时",""
EN_GuildBattleTeamNoSameGuild,"家族战中不能和敌对家族成员组队",""
qingshurushoujihao,"请输入手机号",""
bunengfasong,"该频道不能发送消息",""
shangxiandengji,"上限等级不能小于下限等级",""
emplouyeetaskhour,"小时",""
emplouyeetasklow,"成功率低",""
emplouyeetaskhigh,"成功率高",""
employeeTaskCanNum,"需上阵伙伴{n}个",""
employeeTaskshibao,"任务失败",""
IMT_BabyEquip,"宠物装备",""
reconnect,"重试",""
sdkInitError,"网络连接初始化失败，请重试",""
ADT_IntegralShop,"积分商城",""
gaojisuxing,"包含高级属性是否置换",""
jifenbuzu,"积分不足",""
ADT_Zhuanpan,"幸运转盘",""
jifen,"积分",""
jilibao,"级礼包",""
renshubuzhu,"上阵伙伴数量不足",""
huanbanrenwuzhong,"伙伴参加任务中不可进行此操作",""
EN_NoGuild,"您没有家族",""
shuijingbuzu,"水晶不足",""
huodejingyan,"获得{n}经验",""
yijiaobangzhu,"帮主已移交{n}",""
EN_FamilyPremierCanntDelete,"必须转移族长之后才能删除角色",""
fangshengbabyEqu,"放生宠物,宠物装备也将丢失,是否确定",""
fangshengbaby,"是否放生宠物",""
emplouyeetaskmin,"分钟",""
dengjibuzu,"家族等级不足",""
EN_AccecptRandQuestSizeLimitError,"已超过领取次数上限",""
jiazuzhanojieshu,"家族战已结束",""
bunengzudui,"不能组队进入家族战场",""
querengoumai,"确认购买",""
xiaohaoshuijingjixu,"消耗{n}水晶是否继续？","" 
suodingchongwu,"锁定宠物不能放生",""
EN_HunderdLevel,"百人道场挑战等级不够",""
needRestart,"需要重启后才能生效",""
unreg,"注销",""
loginFailed,"登陆失败,请检查网络后重新登录",""
huobanshangzhen,"英雄{n}加入了队伍",""
xuanzechongwu,"宠物选择",""
xuanzedaoju,"物品选择",""
suodingchongwuno,"锁定宠物不能上交",""
chuzhanchongwuno,"出战宠物不能上交",""
